JMBAG,Prezime,Ime,Matematika 1,Fizika 1,Programiranje,Osnove elektrotehnike,Digitalna logika,Matematika 2,Algoritmi 1
1341,Anić,Iva,2,2,NULL,NULL,4,2,2
1342,Babić,Josip,5,3,4,3,NULL,5,5
1343,Crnoja,Petra,4,3,4,2,3,4,3
1344,Črnjac,Lucija,2,5,2,2,3,3,4
1345,Dizla,Stipe,NULL,4,3,5,2,2,2
1346,Ermić,Igor,NULL,3,NULL,5,5,5,5
1347,Feldar,Marin,NULL,3,3,3,2,2,5
1348,Grubiša,Ivan,3,4,3,4,4,5,4
1349,Gobac,Davor,3,2,3,2,3,NULL,3
1350,Huljić,Miroslav,4,2,4,2,5,4,2
1351,Kolar,Lena,2,NULL,3,3,2,2,4
1352,Kramarić,Anamarija,4,2,5,2,4,5,2
1353,Kuzle,Zoran,5,4,2,4,3,2,3
1354,Larić,Boris,3,NULL,4,5,NULL,3,NULL
1355,Lojzek,Ivan,4,5,4,2,5,4,3
1356,Luša,Maja,2,4,3,3,4,2,4
1357,Marić,Ana,2,2,5,3,2,5,2
1358,Mlinar,Bojana,5,3,3,NULL,3,5,5
1359,Olrom,Marko,3,3,NULL,2,4,3,NULL
1360,Petrović,BorNULL,5,2,2,5,5,2,4
1361,Planianr,Lovro,2,NULL,2,4,NULL,5,2
1362,Rojzić,Višnja,NULL,4,2,2,3,4,4
1363,Rugel,Ivana,5,2,3,3,3,4,2
1364,Silar,Zdenka,4,5,NULL,4,3,2,3
1365,Šuster,Marko,4,2,4,4,4,3,4
1366,Udvil,Joža,3,2,NULL,5,3,5,5
1367,Zajec,Antonio,5,3,NULL,2,2,5,2
